ID	LIVE_ID	タイムスタンプ	曲名	アーティスト
1	1	0:01:47	かすかなおと	幽音しの
2	1	0:03:13	怪獣の花唄	Vaundy
3	1	0:26:45	初配信兼入浴の歌	幽音しの(即興)
4	3	0:06:09	憂、燦々	クリープハイプ
5	3	0:15:28	プラトニック・ラヴ	メル feat.IA
6	3	0:22:59	さようなら、花泥棒さん	メル feat.初音ミク
7	3	0:31:28	踊り子	Vaundy
8	3	0:41:18	春擬き	やなぎなぎ
9	3	0:51:17	CHE.R.RY	YUI
10	3	1:00:20	春泥棒	ヨルシカ
11	4	0:05:55	ヒカリヘ	miwa
12	4	0:13:23	more than words	羊文学
13	4	0:21:20	お気に召すまま	Eve
14	4	0:28:43	Laugh away	Yui
15	4	0:35:56	flos	R Sound Design feat.初音ミク
16	4	0:43:20	灯火	Vaundy
17	4	0:48:23	鼓膜の歌	幽音しの(即興)
18	4	0:52:20	ドライフラワー	優里
19	4	1:01:17	秒針を噛む	ずっと真夜中でいいのに
20	4	1:09:49	真夜中遊園地	チャットモンチー
21	4	1:18:11	想像フォレスト	じん(自然の敵P) feat.IA
22	4	1:27:05	いのちの名前	木村弓
23	4	1:35:51	いつも何度でも	木村弓
24	4	1:42:50	カワキヲアメク	美波
25	7	0:01:43	Just Be Friends	Dixie Flatline feat.巡音ルカ
26	7	0:09:44	夜明けと蛍	n-buna(ヨルシカ) feat.初音ミク
27	7	0:16:35	絶え間なく藍色	獅子志司 feat.初音ミク
28	7	0:22:22	レディーレ	バルーン feat.flower
29	7	0:29:29	翡翠のまち	メル feat.初音ミク
30	7	0:33:35	妄想感傷代償連盟	DECO*27 feat.初音ミク
31	7	0:41:37	Calc.	ジミーサムP feat.初音ミク
32	7	0:48:07	快晴	Orangestar feat.初音ミク
33	7	0:57:04	アスノヨゾラ哨戒班	Orangestar feat.初音ミク
34	7	1:01:03	やめるやめる詐欺	幽音しの(即興)
35	7	1:02:07	雨き声残響	Orangestar feat.IA
36	9	0:04:07	ツキヨミ	phatmans after school
37	9	0:12:20	Ghost of a smile	EGOIST
38	9	0:20:13	トゲめくスピカ	ポルカドットスティングレイ
39	9	0:27:55	靴の花火	ヨルシカ
40	9	0:33:51	ブルーベリー・ナイツ	マカロニえんぴつ
41	9	0:40:20	from Y to Y	ジミーサムP feat.初音ミク＆巡音ルカ(コーラス)
42	9	0:50:00	少女レイ	みきとP feat.初音ミク
43	9	0:57:05	記憶の水槽	こんにちは谷田さん(キタニタツヤ) feat.初音ミク
44	9	1:03:05	弱虫モンブラン	DECO*27 feat.GUMI
45	9	1:10:08	君という神話	やなぎなぎ& 麻枝准
46	9	1:18:30	夏の半券	みきとP feat.初音ミク
47	9	1:26:46	Alice in 冷凍庫	Orangestar feat.IA
48	9	1:35:20	回る空うさぎ	Orangestar feat.初音ミク
49	9	1:42:25	カタオモイ	Aimer
50	11	0:04:45	東京フラッシュ	Vaundy
51	11	0:11:54	シンデレラボーイ	Saucy Dog
52	11	0:16:45	からくりピエロ	40mP feat.初音ミク
53	11	0:23:01	おやすみ、泣き声 さよなら歌姫	クリープハイプ
54	11	0:31:04	Good-bye days	YUI for 雨音薫
55	12	0:15:01	怪獣の花唄	Vaundy
56	12	0:20:27	星座になれたら	結束バンド
57	12	0:27:49	ユキトキ	やなぎなぎ
58	12	0:35:10	DAYBREAK FRONTLINE	Orangestar feat.IA
59	12	0:42:12	sabotage	緑黄色社会
60	12	0:51:00	ノーチラス	ヨルシカ
61	12	0:59:27	天ノ弱	164P feat.GUMI
62	12	1:06:07	Perfect Day	supercell
63	12	1:15:09	藍二乗	ヨルシカ
64	14	0:03:42	napori	Vaundy
65	14	0:10:23	君の知らない物語	supercell
66	14	0:19:37	ギターと孤独と蒼い惑星	結束バンド
67	14	0:26:10	光るとき	羊文学
68	14	0:34:38	メルト	ryo(supercell) feat.初音ミク
69	14	0:42:02	Dear Mr 「F」	ずっと真夜中でいいのに。
70	14	0:49:44	言って。	ヨルシカ
71	14	0:55:50	チノカテ	ヨルシカ
72	14	1:03:13	Planetes	EGOIST
73	14	1:10:08	眠ねむの歌	幽音しの(即興)
74	14	1:13:39	ちょっと待ってねの歌	幽音しの(即興)
75	14	1:15:22	名前のない怪物	EGOIST
76	14	1:25:50	夜明けと蛍	n-buna(ヨルシカ) feat.初音ミク
77	15	0:05:06	花占い	Vaundy
78	15	0:11:44	トウキョウ・シャンディ・ランデヴ	MAISONdes
79	15	0:17:10	マーシャルマキシマイザ	柊マグネタイト feat.可不
80	15	0:23:51	ロストワンの号哭	Neru feat.鏡音リン
81	15	0:31:52	ビビデバ	星街すいせい
82	15	0:37:03	ロケットサイダー	ナユタン星人
83	15	0:43:08	ノーダウト	Official髭男dism
84	15	0:49:55	拝啓、少年よ	Hump Back
85	15	1:00:10	おやすみ、泣き声 さよなら歌姫	クリープハイプ
86	15	1:06:50	シャルル	バルーン(須田景凪)feat.flowel
87	15	1:13:28	Drop pop candy	れをる&ぎがP feat.鏡音リン&巡音ルカ
88	15	1:21:52	心という名の不可解	Ado
89	15	1:31:07	HELLO〜Paradise Kiss〜	YUI
90	15	1:40:40	忘れろの歌	幽音しの(即興)
91	16	0:04:50	一番の宝物	Girls Dead Monster
92	16	0:11:55	My Soul Your Beats!	Lia
93	16	0:19:00	雨、キミを連れて	EGOIST
94	16	0:26:16	変わらないもの	奥華子
95	16	0:33:15	阿吽のビーツ	羽生まゐご feat.flower
96	16	0:39:23	マリーゴールド	あいみょん
97	16	0:48:35	Henceforth	Orangestar feat.IA
98	16	0:56:16	地球最後の告白を	Kemu feat.Gumi
99	16	1:03:41	花に亡霊	ヨルシカ
100	16	1:09:40	うたかた花火	supercell
101	16	1:19:14	雨とカプチーノ	ヨルシカ
102	16	1:27:32	さよならメモリーズ	supercell
103	16	1:34:54	リルモア	supercell
104	16	1:40:36	ヒーロー(1chorus)	supercell
105	16	1:44:17	The Bravery(1chorus)	supercell
106	16	1:48:43	少年ブレイヴ	じん(自然の敵P) feat.IA
107	16	1:57:15	カゲロウデイズ(1chorus)	じん(自然の敵P) feat.初音ミク
108	16	2:00:45	リライト(1phrase)	ASIAN KUNG-FU GENERATION
109	16	2:02:52	粉雪	レミオロメン
110	16	2:10:22	Butter-Fly(1phrase)	和田光司
111	16	2:13:11	God knows…	涼宮ハルヒ(平野綾)
